,1,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
66,6,5T,Luol Deng,19,CHI,0.0,1.0,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,0.434,0.265,0.741,3.0,0.086
67,7,5T,J.R. Smith,19,NOH,0.0,1.0,630,0.002,76,24.5,10.3,2.0,1.9,0.7,0.1,0.39399999999999996,0.28800000000000003,0.6890000000000001,0.2,0.006
68,2,1,Chris Paul,20,NOK,124.0,623.0,625,0.997,78,36.0,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.17800000000000002
69,3,2,Charlie Villanueva,21,TOR,0.0,248.0,625,0.397,81,29.1,13.0,6.4,1.1,0.7,0.8,0.46299999999999997,0.327,0.706,3.9,0.079
70,4,3,Andrew Bogut,21,MIL,0.0,98.0,625,0.157,82,28.6,9.4,7.0,2.3,0.6,0.8,0.5329999999999999,0.0,0.629,5.5,0.113
71,5,4,Raymond Felton,21,CHA,0.0,79.0,625,0.126,80,30.1,11.9,3.3,5.6,1.3,0.1,0.391,0.358,0.725,2.6,0.051
72,6,5,Channing Frye,22,NYK,0.0,41.0,625,0.066,65,24.2,12.3,5.8,0.8,0.5,0.7,0.47700000000000004,0.33299999999999996,0.825,3.5,0.10800000000000001
73,7,6,Deron Williams,21,UTA,1.0,31.0,625,0.05,80,28.8,10.8,2.4,4.5,0.8,0.2,0.42100000000000004,0.41600000000000004,0.7040000000000001,2.8,0.059000000000000004
74,8,7T,Danny Granger,22,IND,0.0,2.0,625,0.003,78,22.6,7.5,4.9,1.2,0.7,0.8,0.462,0.32299999999999995,0.777,5.1,0.139
75,9,7T,Luther Head,23,HOU,0.0,2.0,625,0.003,80,28.9,8.8,3.3,2.7,1.1,0.1,0.40299999999999997,0.361,0.6990000000000001,3.5,0.07200000000000001
76,10,9,Ryan Gomes,23,BOS,0.0,1.0,625,0.002,61,22.6,7.6,4.9,1.0,0.6,0.1,0.48700000000000004,0.33299999999999996,0.752,3.1,0.10800000000000001
77,2,1,Brandon Roy,22,POR,127.0,638.0,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,0.456,0.377,0.838,4.8,0.114
78,3,2,Andrea Bargnani,21,TOR,1.0,264.0,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,0.42700000000000005,0.373,0.8240000000000001,1.9,0.057
79,4,3,Rudy Gay,20,MEM,0.0,93.0,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,0.42200000000000004,0.364,0.727,0.5,0.011000000000000001
80,5,4,Adam Morrison,22,CHA,0.0,44.0,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,0.376,0.337,0.71,-1.5,-0.03
81,6,5,Randy Foye,23,MIN,0.0,37.0,640,0.057999999999999996,82,22.9,10.1,2.7,2.8,0.6,0.3,0.434,0.368,0.8540000000000001,2.3,0.057999999999999996
82,7,6,Paul Millsap,21,UTA,0.0,19.0,640,0.03,82,18.0,6.8,5.2,0.8,0.8,0.9,0.525,0.33299999999999996,0.6729999999999999,4.7,0.153
83,8,7,LaMarcus Aldridge,21,POR,0.0,18.0,640,0.027999999999999997,63,22.1,9.0,5.0,0.4,0.3,1.2,0.503,0.0,0.722,3.4,0.11800000000000001
84,9,8,Jorge Garbajosa,29,TOR,0.0,17.0,640,0.027000000000000003,67,28.5,8.5,4.9,1.9,1.2,0.2,0.42,0.342,0.731,3.0,0.07400000000000001
85,10,9,Tyrus Thomas,20,CHI,0.0,10.0,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,0.475,0.0,0.606,2.2,0.11
86,11,10,Walter Herrmann,27,CHA,0.0,5.0,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,0.527,0.461,0.774,2.4,0.125
87,12,11,Craig Smith,23,MIN,0.0,4.0,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,0.531,0.0,0.624,3.9,0.121
88,13,12,Rajon Rondo,20,BOS,0.0,3.0,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,0.418,0.207,0.647,2.4,0.064
89,2,1,Kevin Durant,19,SEA,90.0,545.0,625,0.872,80,34.6,20.3,4.4,2.4,1.0,0.9,0.43,0.28800000000000003,0.873,2.3,0.04
90,3,2,Al Horford,21,ATL,30.0,390.0,625,0.624,81,31.4,10.1,9.7,1.5,0.7,0.9,0.499,0.0,0.731,5.5,0.10300000000000001
